time,laccx,laccy,laccz,grax,gray,graz,gyrx,gyry,gyrz,accx,accy,accz,magx,magy,magz
113376400,-0.6198597,-0.18567501,-0.281018,-0.23654762,9.693096,1.467006,5.500009E-4,-0.0012924988,0.0064074993,-0.9642001,9.4851,1.9777501,42.671253,46.792503,153.57
113376420,0.4664691,-0.046347268,-0.15357256,-0.29104036,9.691198,1.4708931,0.027101975,-0.05039013,0.035236184,0.3453,9.723945,1.3132502,42.450005,47.5875,153.1875
113376440,0.36590022,-0.053957447,0.12175905,-0.19156705,9.69833,1.439892,5.5E-4,0.007686249,-0.0010449989,0.2733158,9.636529,1.3006816,42.847504,47.621254,152.8725
113376460,-0.22798866,-0.21723932,-0.049453147,-0.1644046,9.698322,1.4438639,0.0073356247,0.011907502,-0.0020418763,-0.6548475,9.375353,1.4114476,43.481255,47.152504,152.5275
113376480,0.29979813,-0.027571402,-0.07778295,-0.188434,9.69888,1.437477,0.021539377,-0.02762375,0.020157501,0.24229498,9.789451,1.39425,44.002502,47.04375,153.17627
113376500,0.316039,-0.1479719,0.03279869,-0.11704479,9.700329,1.434228,0.002105921,0.008980921,-0.006006581,0.38805002,9.54405,1.55595,43.860004,46.998753,153.22125
113376520,-0.1770675,-0.3123345,-0.047470495,-0.099204004,9.702196,1.4233251,0.007425,0.008593749,-0.0016500019,-0.69405,9.249001,0.89505005,43.230003,47.1675,153.1275
113376540,0.317492,-0.2837035,-0.20711449,-0.110118,9.704689,1.4057925,0.009556251,-0.02330625,0.010587499,0.558,9.594001,1.5270001,43.5675,46.8375,152.8725
113376560,0.07502167,-0.30838463,-0.14588405,-0.050432265,9.704987,1.4072545,0.015848683,0.020154607,-0.011781579,0.009000001,9.285001,1.5679501,43.9275,46.638756,153.2025
113376580,-0.45762917,-0.14616491,-0.1362971,-0.074591406,9.706499,1.395191,0.015152499,0.012381875,-0.005204375,-0.647295,9.644205,1.1700001,43.987503,46.7175,153.585
113376600,-0.041590646,-0.0835397,0.028393544,-0.14118405,9.710076,1.3652978,-0.008965,-0.02704625,0.011061875,-0.24314998,9.637351,1.1298976,43.987503,47.313755,153.70126
113376620,0.277562,-0.28389916,-0.1550384,-0.12633395,9.710033,1.3668842,-0.011103124,-0.0108624995,0.0044618743,0.28583688,9.410834,1.4484237,43.882504,47.21625,153.5325
113376640,0.10894248,-0.2358911,0.14617653,-0.08384879,9.710623,1.3663414,0.003343421,0.006513158,-0.004313158,-0.048495002,9.398955,1.3914601,43.901253,46.721252,153.0075
113376660,-0.15385881,0.21267362,-0.039296404,-0.0766812,9.709437,1.3751668,0.01331,0.008305,-0.011880001,-0.14046001,9.966795,1.28274,44.062504,46.7175,152.54251
113376680,-0.178758,0.08987738,0.017916828,-0.108286805,9.711082,1.3610506,-0.025217501,0.0029424997,-7.97499E-4,-0.39285,9.85035,1.3314601,44.010002,46.983753,152.21625
113376700,0.18834913,-0.052287005,0.015397906,-0.124063894,9.704197,1.4075234,0.0040743407,-0.0133809205,0.0044506583,0.069639474,9.536329,2.0702605,44.077503,47.65875,152.15625
113376720,0.1166787,0.29548523,0.102472335,-0.08456485,9.7046795,1.4074619,-2.612481E-4,0.010814372,-0.0105325,0.13005751,10.040551,1.0267426,44.250004,47.3325,152.15625
113376740,-0.30388653,-0.23658928,0.058480658,-0.09090115,9.705341,1.4028506,-0.04703875,0.014086875,-0.010333125,-0.44895002,9.501443,1.4062426,44.2275,47.077503,151.87125
113376760,0.01736267,-0.20209007,0.047108598,-0.13932174,9.70089,1.429306,0.0038774982,-0.02069375,0.006840625,-0.19285265,9.348482,1.5922737,44.0325,47.41875,151.60501
